institution,period,city,segment,metric_name,value,unit,comparison_type,comparison_value,is_forecast,source_url,source_quote
杭州贝壳研究院,2026-03,杭州,secondary_home,secondary_volume_units,9356,units,,,0,https://www.hzzx.gov.cn/cshz/content/2026-05/07/content_9217652.htm,4月杭州市区成交9968套二手房，环比3月的9356套上涨6.5%
杭州贝壳研究院,2026-04,杭州,secondary_home,secondary_volume_units,9968,units,mom,6.5,0,https://www.hzzx.gov.cn/cshz/content/2026-05/07/content_9217652.htm,4月杭州市区成交9968套二手房，环比3月的9356套上涨6.5%，同比去年4月的9421套上涨5.8%
杭州贝壳研究院,2026-04,杭州,secondary_home,secondary_volume_units,9968,units,yoy,5.8,0,https://www.hzzx.gov.cn/cshz/content/2026-05/07/content_9217652.htm,同比去年4月的9421套上涨5.8%
杭州贝壳研究院,2026-05,杭州,secondary_home,secondary_volume_units,9087,units,mom,-8.8,0,https://tidenews.com.cn/news.html?id=3461101,5月杭州市区二手房成交9087套，环比下滑8.8%，同比提升17.8%
杭州贝壳研究院,2026-05,杭州,secondary_home,secondary_volume_units,9087,units,yoy,17.8,0,https://tidenews.com.cn/news.html?id=3461101,5月成交9087套，同比提升17.8%，近六年同期第一
杭州贝壳研究院,2026-06,杭州,secondary_home,secondary_volume_units,7711,units,yoy,5,0,https://finance.sina.com.cn/jjxw/2026-07-06/doc-inifwfpv8721016.shtml,6月网签7711套，同比增约5%
杭州贝壳研究院,2026-07,杭州,secondary_home,secondary_volume_units,7107,units,,,0,http://www.eeo.com.cn/2026/0903/1021422.shtml,环比7月的7107套下滑10.8%
杭州贝壳研究院,2026-08,杭州,secondary_home,secondary_volume_units,6337,units,mom,-10.8,0,http://www.eeo.com.cn/2026/0903/1021422.shtml,8月份杭州市区成交6337套二手房，环比7月下滑10.8%，同比去年8月的6633套下滑4.5%
杭州贝壳研究院,2026-08,杭州,secondary_home,secondary_volume_units,6337,units,yoy,-4.5,0,http://www.eeo.com.cn/2026/0903/1021422.shtml,同比去年8月的6633套下滑4.5%
杭州贝壳研究院,2026-H1,杭州,secondary_home,secondary_volume_units,46478,units,,,0,https://finance.sina.com.cn/jjxw/2026-07-06/doc-inifwfpv8721016.shtml,上半年二手房网签超4.6万套，累计成交46478套
中指云,2026-02,杭州,secondary_home,secondary_volume_units,3197,units,yoy,-42.6,0,https://www.cih-index.com/report/detail/118725.html,2026年2月杭州二手住宅成交3197套，同比下降42.6%（中指口径，与贝壳不同）
中指云,2026-02,杭州,secondary_home,listing_units,150561,units,,,0,https://www.cih-index.com/report/detail/118725.html,挂牌量环比减少2118套至150561套
克而瑞,2026-08,杭州,new_home,new_home_volume_area,27.8,10k_sqm,mom,-1,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,8月新房成交面积27.8万㎡（环比-1%、同比-20%）
克而瑞,2026-08,杭州,new_home,new_home_volume_area,27.8,10k_sqm,yoy,-20,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,8月新房成交面积27.8万㎡（环比-1%、同比-20%）
克而瑞,2026-08,杭州,new_home,developer_sales_amount,113.7,CNY_100m,mom,-17,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,成交金额113.7亿元（环比-17%、同比-9%）
克而瑞,2026-08,杭州,new_home,avg_price,40924,CNY_per_sqm,mom,-16,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,成交均价40924元/㎡（环比-16%、同比+15%）
克而瑞,2026-08,杭州,new_home,avg_price,40924,CNY_per_sqm,yoy,15,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,成交均价40924元/㎡（环比-16%、同比+15%）
克而瑞,2026-07,杭州,new_home,avg_price,48582,CNY_per_sqm,,,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,较7月高点（48582元/㎡）明显回落
克而瑞,2026-08,杭州,new_home,inventory_months,8.5,months,,,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,截至8月末全市新房库存23078套、332.9万㎡，12月口径去化周期8.5个月，仍处近一年高位
克而瑞,2026-08,杭州,new_home,listing_units,23078,units,yoy,12,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,全市新房库存23078套（同比+12%、环比+1%）
克而瑞,2026-08,杭州,land,land_transaction_value,5.5,CNY_100m,,,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,8月杭州招拍挂涉宅用地成交2宗，成交总价5.5亿元，综合溢价率10%
克而瑞,2026-08,杭州,land,premium_rate_pct,10,pct,,,0,https://www.163.com/dy/article/L60FFFN60515AUCH.html,成交楼面价8051元/㎡，综合溢价率10%，溢价率较此前月份明显收敛
克而瑞,2026-H1,杭州,land,land_transaction_value,481,CNY_100m,,,0,https://tidenews.com.cn/short_news.html?id=6a44984052f94200011ab635,杭州十区半年涉宅总成交金额超481亿元，位列全国第二，仅次于上海
克而瑞,2026-H1,杭州,new_home,new_home_volume_units,480,units,,,0,https://wallstreetcn.com/articles/3776473,2000万元以上豪宅成交480套创历史新高（新房豪宅口径）
