institution,period,city,segment,metric_name,value,unit,comparison_type,comparison_value,is_forecast,source_url,source_quote
中指院,2026-03,全国,new_home,avg_price,17115,CNY_per_sqm,mom,0.05,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,全国100个城市新建住宅平均价格为17115元/平方米，环比上涨0.05%
中指院,2026-03,全国,new_home,avg_price,17115,CNY_per_sqm,yoy,2.24,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,全国100个城市新建住宅平均价格同比上涨2.24%
中指院,2026-03,全国,secondary_home,avg_price,12792,CNY_per_sqm,mom,-0.34,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,全国100个城市二手住宅平均价格为12792元/平方米，环比下跌0.34%，跌幅较上月收窄0.2个百分点
中指院,2026-03,全国,secondary_home,avg_price,12792,CNY_per_sqm,yoy,-8.55,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,3月，全国100个城市二手住宅平均价格为12792元/平方米，环比下跌0.34%，同比下跌8.55%。
中指院,2026-03,全国,rental,rent_level,34.00,CNY_per_sqm_month,mom,0.09,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,全国50个城市住宅平均租金为34.00元/平方米/月，环比上涨0.09%
中指院,2026-03,全国,rental,rent_level,34.00,CNY_per_sqm_month,yoy,-3.65,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,全国50个城市住宅平均租金较去年同期下跌3.65%
中指院,2026-03,一线,new_home,mom_change_pct,0.24,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,一线城市新建住宅价格环比上涨0.24%，同比上涨6.19%
中指院,2026-03,一线,new_home,yoy_change_pct,6.19,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,一线城市新建住宅价格环比上涨0.24%，同比上涨6.19%
中指院,2026-03,一线,secondary_home,mom_change_pct,-0.16,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,一线城市二手住宅价格环比下跌0.16%，同比下跌7.72%
中指院,2026-03,杭州,new_home,mom_change_pct,0.34,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州、上海新房价格环比涨幅位居前列，涨幅分别为0.34%、0.33%
中指院,2026-03,杭州,new_home,yoy_change_pct,9.38,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,上海、杭州、成都、合肥同比分别上涨9.72%、9.38%、6.68%、5.98%
中指院,2026-03,杭州,new_home,avg_price,33592,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州 0.34% 33592（样本平均价格，元/平方米）
中指院,2026-03,上海,new_home,mom_change_pct,0.33,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州、上海环比分别上涨0.34%、0.33%
中指院,2026-03,上海,new_home,yoy_change_pct,9.72,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,上海、杭州、成都同比分别上涨9.72%、9.38%和6.68%
中指院,2026-03,深圳,rental,mom_change_pct,0.41,pct,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳、北京涨幅最大，均为0.41%（住宅平均租金环比）
中指院,2026-03,天津,secondary_home,mom_change_pct,-0.66,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,天津         | -0.66% | -10.14% |              20311 |               15565 |
中指院,2026-03,天津,secondary_home,yoy_change_pct,-10.14,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,天津         | -0.66% | -10.14% |              20311 |               15565 |
中指院,2026-03,天津,secondary_home,avg_price,20311,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,天津         | -0.66% | -10.14% |              20311 |               15565 |
中指院,2026-03,武汉,secondary_home,mom_change_pct,-0.72,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,武汉         | -0.72% | -12.66% |              13127 |               11815 |
中指院,2026-03,武汉,secondary_home,yoy_change_pct,-12.66,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,武汉         | -0.72% | -12.66% |              13127 |               11815 |
中指院,2026-03,武汉,secondary_home,avg_price,13127,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,武汉         | -0.72% | -12.66% |              13127 |               11815 |
中指院,2026-03,南京,secondary_home,mom_change_pct,-0.45,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,南京         | -0.45% | -12.76% |              25676 |               23256 |
中指院,2026-03,南京,secondary_home,yoy_change_pct,-12.76,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,南京         | -0.45% | -12.76% |              25676 |               23256 |
